order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,payment_type,payment_value,product_category_name_english,review_id,review_score
365a8708db2878154916b372f72e17ef,6816cc08a7c9ef50ff5bde38948ea97a,delivered,2017-05-04 19:35:21,2017-05-06 02:15:56,2017-05-09 16:53:19,2017-05-15 15:48:06,2017-06-07,1,1612209b0b37fbe80e1e8e1b7d19ca1d,87142160b41353c4e5fca2360caf6f92,2017-05-12 02:15:56,99.0,24.89,boleto,123.89,computers_accessories,16d5a450df6592e049fc0e745175c311,5.0
c0086672990e6dae8d6be4ccb38ab854,fe141070931f6090431da3c87c9be4ff,delivered,2017-06-15 21:19:16,2017-06-15 21:30:10,2017-06-16 15:11:39,2017-06-28 10:32:39,2017-07-06,1,cec09725da5ed01471d9a505e7389d37,4d6d651bd7684af3fffabd5f08d12e5a,2017-06-21 21:30:10,69.9,16.12,credit_card,86.02,sports_leisure,f81072fcbb966d3ab0532a9af6c337d6,5.0
430bd310105f069ac72ef7758f40299b,815e5251945f96c68c05d5c3500ab291,delivered,2017-09-04 18:09:28,2017-09-04 18:24:00,2017-09-05 21:34:13,2017-09-12 19:02:48,2017-09-26,1,9cf421049bcfaf6983bf0dfb40831a03,403aa86912527d730337ffcb0fb096ab,2017-09-11 18:24:00,299.99,17.86,credit_card,317.85,art,5ed0e7f2543faaa9ebc562d5ef02e502,1.0
f2b05b43011210214069c513de56b6b0,6aae5a715cdba6e7d4333a0eeeead63b,delivered,2017-10-20 00:31:45,2017-10-20 01:06:09,2017-10-24 15:18:39,2017-10-28 16:47:59,2017-11-08,1,759f2746cbd8fc01367864eccec63d46,d05ae8f7a5bd1d2a690a44cd079e4e27,2017-10-26 01:06:09,192.0,16.09,voucher,50.0,sports_leisure,c28606af2b2d900da36ab6d79cee5a43,1.0
f2b05b43011210214069c513de56b6b0,6aae5a715cdba6e7d4333a0eeeead63b,delivered,2017-10-20 00:31:45,2017-10-20 01:06:09,2017-10-24 15:18:39,2017-10-28 16:47:59,2017-11-08,1,759f2746cbd8fc01367864eccec63d46,d05ae8f7a5bd1d2a690a44cd079e4e27,2017-10-26 01:06:09,192.0,16.09,credit_card,158.09,sports_leisure,c28606af2b2d900da36ab6d79cee5a43,1.0
a9f5f4fb236732250fc0b959e3a4b96e,3c4c9a40e53e5d539c9d02c03629b5f2,delivered,2017-10-23 16:26:56,2017-10-23 16:46:25,2017-10-24 21:43:56,2017-10-26 20:47:57,2017-11-09,1,2196663031bcde078cede855ac0b5739,c9c7905cffc4ef9ff9f113554423e671,2017-10-27 16:46:25,65.0,11.95,credit_card,76.95,sports_leisure,7c171779b666daa4aab0d3e3734f1515,5.0
cf68d1708492cb14a50e5aeb9b7abe1e,841fe4f39338e188364eff57c38f2768,delivered,2017-11-10 13:28:24,2017-11-10 13:47:02,2017-11-14 16:36:19,2017-11-23 19:03:23,2017-11-30,1,90aa2ab699cd0e459be93124aa91c82f,8160255418d5aaa7dbdc9f4c64ebda44,2017-11-17 13:47:02,119.9,13.86,credit_card,133.76,bed_bath_table,12a3d7de4af00e6b3483700fce018b68,5.0
50c561609b802ec8d508a9f48c669918,3fe89a08445d29487b8766af9207a44e,delivered,2017-12-01 21:44:31,2017-12-04 18:30:51,2017-12-20 13:17:57,2018-01-05 17:58:23,2018-01-05,1,a6621d4ee609f3f917d04c11ca8f0161,7aa4334be125fcdd2ba64b3180029f14,2017-12-08 14:35:54,86.99,29.01,credit_card,116.0,toys,48473f056dbedf83a49b22fb0dd16805,3.0
683bf306149bb869980b68d48a1bd6ab,4ca9d029df38b5b513980f0508bed78e,delivered,2017-12-12 19:01:53,2017-12-12 19:10:32,2017-12-13 18:53:25,2018-01-15 22:35:36,2018-01-15,1,8b879b701aba1cd9adffb70411eb05d5,cb3dd9ce66268c7a3ca7241ac70ab58c,2017-12-21 19:10:32,19.99,18.59,voucher,30.0,sports_leisure,533891d34ab24c6af4776634a4d7a067,5.0
683bf306149bb869980b68d48a1bd6ab,4ca9d029df38b5b513980f0508bed78e,delivered,2017-12-12 19:01:53,2017-12-12 19:10:32,2017-12-13 18:53:25,2018-01-15 22:35:36,2018-01-15,1,8b879b701aba1cd9adffb70411eb05d5,cb3dd9ce66268c7a3ca7241ac70ab58c,2017-12-21 19:10:32,19.99,18.59,credit_card,8.58,sports_leisure,533891d34ab24c6af4776634a4d7a067,5.0
